,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,team1_powerplay,team2_powerplay,average_SR_inning1,average_SR_inning2,average_RR_inning1,average_RR_inning2,team2_extras,team1_extras
148,149,2009,Centurion,2009-05-07,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,1,Chennai Super Kings,12,0,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene,57.0,53.0,1.6972477064220184,1.5675675675675675,10.18348623853211,9.405405405405405,6.0,6.0
149,150,2009,East London,2009-05-08,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Delhi Capitals,0,7,A Nehra,Buffalo Park,M Erasmus,SK Tarapore,30.0,36.0,0.8923076923076924,1.0085470085470085,5.3538461538461535,6.051282051282051,13.0,6.0
150,151,2009,Kimberley,2009-05-09,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,3,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba,52.0,45.0,1.344,1.3852459016393444,8.064,8.311475409836065,7.0,9.0
151,152,2009,Kimberley,2009-05-09,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,34.0,37.0,1.1475409836065573,1.2155172413793103,6.885245901639345,7.293103448275862,7.0,10.0
152,153,2009,Port Elizabeth,2009-05-10,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,16,0,JP Duminy,St George's Park,BR Doctrove,BG Jerling,46.0,39.0,1.236220472440945,1.1015625,7.4173228346456686,6.609375,7.0,14.0
153,154,2009,Johannesburg,2009-05-10,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,7,A Mishra,New Wanderers Stadium,SL Shastri,RB Tiffin,37.0,47.0,0.9761904761904762,1.1574074074074074,5.857142857142857,6.944444444444445,8.0,13.0
154,155,2009,Kimberley,2009-05-11,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,53,0,DR Smith,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,42.0,30.0,1.371900826446281,0.9416666666666667,8.231404958677686,5.65,2.0,4.0
155,156,2009,Centurion,2009-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,LRPL Taylor,SuperSport Park,M Erasmus,SS Hazare,38.0,46.0,1.3951612903225807,1.4193548387096775,8.370967741935484,8.516129032258064,9.0,9.0
156,157,2009,Centurion,2009-05-12,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Mumbai Indians,0,8,Harbhajan Singh,SuperSport Park,SS Hazare,RE Koertzen,51.0,42.0,0.9153846153846154,1.1730769230769231,5.492307692307692,7.038461538461539,18.0,6.0
157,158,2009,Durban,2009-05-13,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Delhi Capitals,12,0,R Bhatia,Kingsmead,DJ Harper,SL Shastri,56.0,50.0,1.373015873015873,1.3089430894308942,8.238095238095237,7.853658536585366,12.0,8.0
158,159,2009,Durban,2009-05-14,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,2,LRPL Taylor,Kingsmead,BR Doctrove,DJ Harper,52.0,33.0,1.084033613445378,1.0909090909090908,6.504201680672269,6.545454545454545,4.0,8.0
159,160,2009,Durban,2009-05-14,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,SK Warne,Kingsmead,BR Doctrove,DJ Harper,42.0,26.0,1.1693548387096775,1.125984251968504,7.016129032258064,6.755905511811023,7.0,18.0
